Experiment,Parameter,Outcome,Memory,Runtime,Detection delay,TP,FP,FN
CDDM,0.0,,8944.0,128.0770899975323,255.0,0.0,0.0,1.0
CUSUM,0.0,,880.0,50.13231900011306,255.0,0.0,1.0,1.0
DDM,0.0,,856.0,37.74951100058388,3.0,1.0,0.0,0.0
EDDM,0.0,,1440.0,34.574561002955306,149.0,1.0,5.0,0.0
EWMA,0.0,,960.0,41.31926899935934,9.0,1.0,1.0,0.0
FHDDM,0.0,,1744.0,36.67390799819259,208.0,1.0,0.0,0.0
FHDDMS,0.0,,1920.0,52.00785100169014,245.0,1.0,0.0,0.0
FHDDMS.add,0.0,,1224.0,41.29278999971575,149.0,1.0,0.0,0.0
HDDM.A.test,0.0,,1296.0,51.29200300143566,83.0,1.0,0.0,0.0
HDDM.W.test,0.0,,2520.0,52.887637000822,255.0,0.0,0.0,1.0
MDDM.A.100,0.0,,1976.0,89.2344830026559,255.0,0.0,1.0,1.0
MDDM.E.100,0.0,,1968.0,67.17080900125438,255.0,0.0,0.0,1.0
MDDM.G.100,0.0,,1968.0,69.31794000047375,255.0,0.0,1.0,1.0
NO_DETECTION,0.0,,320.0,32.85556099945097,255.0,0.0,0.0,1.0
PageHinkley,0.0,,960.0,35.28820499923313,255.0,0.0,1.0,1.0
RDDM,0.0,,64024.0,39.49920299783116,9.0,1.0,1.0,0.0
SeqDrift2,0.0,,30272.0,45.97320999891963,199.0,1.0,0.0,0.0
ADWIN,0.0,,6568.0,69.19874499726575,87.0,1.0,0.0,0.0
BWAF,0.0,,1024.0,98.85904600014328,2.0,1.0,1.0,0.0
CDDM,0.0,,8944.0,95.10619800130371,255.0,0.0,0.0,1.0
CUSUM,0.0,,880.0,36.44089800218353,248.0,1.0,0.0,0.0
DDM,0.0,,904.0,37.99252699900535,2.0,1.0,0.0,0.0
EDDM,0.0,,1440.0,34.185198001068784,149.0,1.0,2.0,0.0
EWMA,0.0,,960.0,41.602550001698546,5.0,1.0,0.0,0.0
FHDDM,0.0,,1744.0,36.96708899951773,255.0,0.0,1.0,1.0
FHDDMS,0.0,,1920.0,61.71216000075219,88.0,1.0,0.0,0.0
FHDDMS.add,0.0,,1224.0,39.83834600148839,255.0,0.0,1.0,1.0
HDDM.A.test,0.0,,1200.0,48.95181499887258,103.0,1.0,0.0,0.0
HDDM.W.test,0.0,,2520.0,52.15648599914857,255.0,0.0,0.0,1.0
MDDM.A.100,0.0,,1976.0,89.0425059988047,255.0,0.0,1.0,1.0
MDDM.E.100,0.0,,1968.0,66.4114699975471,255.0,0.0,1.0,1.0
MDDM.G.100,0.0,,1968.0,67.76882700069109,199.0,1.0,0.0,0.0
NO_DETECTION,0.0,,320.0,32.80871900278726,255.0,0.0,0.0,1.0
PageHinkley,0.0,,960.0,47.20423899925663,255.0,0.0,1.0,1.0
RDDM,0.0,,64024.0,42.179408999800216,5.0,1.0,1.0,0.0
SeqDrift2,0.0,,30272.0,45.923634999780916,199.0,1.0,0.0,0.0
ADWIN,0.0,,6576.0,65.89291699856403,87.0,1.0,0.0,0.0
BWAF,0.0,,1024.0,100.2251569989312,255.0,0.0,1.0,1.0
